,rep,NeSa1,pa1,NeSa2,pa2,AIC,identifier
121,121,566.120322016,0.000490420599637,0.773333297011,2.27553595267e-06,-11964.4868235,BimodalDFE_div100
122,122,114.612794176,0.000308305946961,684.570126327,2.748980564e-05,-23816.6977528,BimodalDFE_div100
123,123,798.555362424,0.00167503652638,218.220988862,0.0130763844229,-5134.56522249,BimodalDFE_div100
124,124,12.2082229726,0.619389945501,724.129882291,0.00019882891898,-14135.3878811,BimodalDFE_div100
125,125,703.421177907,0.00015280266925,0.93588714567,0.0979810078142,-16601.7569504,BimodalDFE_div100
126,126,540.419767312,5.71104044425e-05,8.71141766207,3.1944469123e-05,-23754.0328773,BimodalDFE_div100
127,127,6.57201305371,0.6650362792,300.329238882,0.175772572677,-3317.03839936,BimodalDFE_div100
128,128,0.283941200774,0.224053252914,275.595525896,0.147390791577,-3453.62179932,BimodalDFE_div100
129,129,3604.21794451,4.74777157977e-07,157.575147837,0.00404515390196,-22413.4466452,BimodalDFE_div100
130,130,71.7794517663,0.000428555582666,482.935825042,5.58098389179e-05,-23925.393093,BimodalDFE_div100
131,131,319.495093994,0.000130836957389,2.07155951532,0.0344128793766,-23881.3252721,BimodalDFE_div100
132,132,368.284901949,0.000190156354689,5.33443654238,0.00563488457698,-23131.1997161,BimodalDFE_div100
133,133,182.613380711,0.00222238447745,170.083041582,0.0210656269844,-14617.4704629,BimodalDFE_div100
134,134,842.951204724,0.00258830843899,179.481876701,0.00021654392191,-22015.790948,BimodalDFE_div100
135,135,384.245373476,0.00915308176994,877.559463899,0.00826879180723,-2883.68471417,BimodalDFE_div100
136,136,101.89867,0.00861439970206,882.174036653,0.000214609372827,-17582.8487836,BimodalDFE_div100
137,137,352.994072824,0.797963162445,0.766242269412,0.2,-2373.67858472,BimodalDFE_div100
138,138,32.2752846542,0.0029153512914,868.456271095,1.97725215678e-07,-22968.7830339,BimodalDFE_div100
139,139,2.44726775334,0.0053584244827,938.755604315,0.014729245405,-2262.75855336,BimodalDFE_div100
140,140,461.218484433,7.06824656064e-05,23.8148701213,0.00353340965914,-23809.8258664,BimodalDFE_div100
141,141,934.98928079,0.874128503829,992.574739932,0.139148485885,-618.16290329,BimodalDFE_div100
142,142,777.662804514,0.00245634634324,309.185949012,0.0515181104545,-3603.39156196,BimodalDFE_div100
143,143,554.998441851,0.000748806598608,710.611614905,0.00522458183536,-4111.81863504,BimodalDFE_div100
144,144,0.0642960754083,0.641579742833,447.137608256,0.0796654477505,-2897.46665361,BimodalDFE_div100
