NeSa,S_d,b,model,number,pa,product
98.94251,-42.85981,0.90369,Exp.Nes100_dDFE.Exponential/,145,0.00263,0.2602188013
75.062,-41.23624,0.96476,Exp.Nes100_dDFE.Exponential/,777,0.00364,0.27322568
98.95415,-38.62122,1.0215,Exp.Nes100_dDFE.Exponential/,524,0.00279,0.2760820785
87.20308,-41.97106,0.96062,Exp.Nes100_dDFE.Exponential/,469,0.00313,0.2729456404
72.46081,-35.67963,1.07275,Exp.Nes100_dDFE.Exponential/,956,0.00386,0.2796987266
99.42691,-41.59229,0.96148,Exp.Nes100_dDFE.Exponential/,594,0.00271,0.2694469261
87.34246,-40.19355,0.98706,Exp.Nes100_dDFE.Exponential/,118,0.00317,0.2768755982
83.65573,-44.94855,0.89586,Exp.Nes100_dDFE.Exponential/,719,0.0033,0.276063909
78.0069,-41.49272,0.95655,Exp.Nes100_dDFE.Exponential/,643,0.00352,0.274584288
69.48791,-40.10928,1.0102,Exp.Nes100_dDFE.Exponential/,157,0.00399,0.2772567609
68.95648,-41.93261,1.00876,Exp.Nes100_dDFE.Exponential/,257,0.00402,0.2772050496
90.46704,-39.38395,0.98593,Exp.Nes100_dDFE.Exponential/,595,0.00303,0.2741151312
99.41418,-43.33507,0.93495,Exp.Nes100_dDFE.Exponential/,68,0.00276,0.2743831368
81.66052,-41.51868,0.92964,Exp.Nes100_dDFE.Exponential/,394,0.00332,0.2711129264
82.93631,-45.04983,0.89102,Exp.Nes100_dDFE.Exponential/,248,0.00324,0.2687136444
87.2482,-42.38389,0.94974,Exp.Nes100_dDFE.Exponential/,527,0.00305,0.26610701
63.80439,-40.59871,1.0003,Exp.Nes100_dDFE.Exponential/,414,0.0044,0.280739316
70.60111,-39.49986,1.00089,Exp.Nes100_dDFE.Exponential/,146,0.00392,0.2767563512
78.14733,-37.38579,1.03516,Exp.Nes100_dDFE.Exponential/,159,0.00361,0.2821118613
99.86792,-43.06659,0.94136,Exp.Nes100_dDFE.Exponential/,711,0.00269,0.2686447048
61.89873,-42.70125,0.95644,Exp.Nes100_dDFE.Exponential/,607,0.00442,0.2735923866
73.61969,-40.60111,0.99939,Exp.Nes100_dDFE.Exponential/,107,0.00372,0.2738652468
