NeSa,S_d,b,model,number,pa,product
2.04783,-45.44315,1.01172,Exp.Nes10_dDFE.Exponential_div10/,192,0.00431,0.0088261473
23.67415,-45.18935,0.97442,Exp.Nes10_dDFE.Exponential_div10/,785,0.00033,0.0078124695
0.36465,-40.63985,1.2686,Exp.Nes10_dDFE.Exponential_div10/,555,0.02212,0.008066058
0.27327,-48.8497,0.9743,Exp.Nes10_dDFE.Exponential_div10/,124,0.01003,0.0027408981
2.21122,-44.63791,1.01173,Exp.Nes10_dDFE.Exponential_div10/,763,0.00401,0.0088669922
0.75324,-42.15892,1.11856,Exp.Nes10_dDFE.Exponential_div10/,302,0.01111,0.0083684964
3.69419,-45.36578,0.97886,Exp.Nes10_dDFE.Exponential_div10/,990,0.00214,0.0079055666
0.01909,-42.11834,1.1512,Exp.Nes10_dDFE.Exponential_div10/,974,0.01776,0.0003390384
0.09766,-47.42298,0.94409,Exp.Nes10_dDFE.Exponential_div10/,480,0.00563,0.0005498258
5.62494,-45.82261,1.00203,Exp.Nes10_dDFE.Exponential_div10/,191,0.0022,0.012374868
2.50061,-45.97707,1.01194,Exp.Nes10_dDFE.Exponential_div10/,964,0.00368,0.0092022448
1.65961,-44.53276,1.02492,Exp.Nes10_dDFE.Exponential_div10/,846,0.00489,0.0081154929
6.90014,-43.50652,1.01131,Exp.Nes10_dDFE.Exponential_div10/,69,0.0014,0.009660196
2.96208,-45.63371,1.00224,Exp.Nes10_dDFE.Exponential_div10/,606,0.00364,0.0107819712
1.64591,-42.42751,1.06923,Exp.Nes10_dDFE.Exponential_div10/,208,0.00615,0.0101223465
29.4284,-44.67215,0.98318,Exp.Nes10_dDFE.Exponential_div10/,66,0.00029,0.008534236
0.07979,-45.22471,1.09118,Exp.Nes10_dDFE.Exponential_div10/,516,0.01579,0.0012598841
0.20195,-47.78467,0.95595,Exp.Nes10_dDFE.Exponential_div10/,797,0.00756,0.001526742
2.639,-45.95722,1.00928,Exp.Nes10_dDFE.Exponential_div10/,123,0.00362,0.00955318
16.70035,-49.05113,0.91854,Exp.Nes10_dDFE.Exponential_div10/,933,0.00029,0.0048431015
0.12166,-47.67924,0.99991,Exp.Nes10_dDFE.Exponential_div10/,608,0.01015,0.001234849
0.17258,-47.5961,1.01182,Exp.Nes10_dDFE.Exponential_div10/,783,0.01177,0.0020312666
0.78018,-40.23173,1.23205,Exp.Nes10_dDFE.Exponential_div10/,983,0.01592,0.0124204656
1.21517,-45.83128,1.01327,Exp.Nes10_dDFE.Exponential_div10/,618,0.00618,0.0075097506
1.50692,-45.31988,1.05034,Exp.Nes10_dDFE.Exponential_div10/,521,0.00719,0.0108347548
0.0676,-44.17494,1.1148,Exp.Nes10_dDFE.Exponential_div10/,581,0.01646,0.001112696
