"","label","mid","pi","xsi","pi2","fwh","theta_W","tajima","sites","B","Bsmooth"
"110","real",2.10251737407,0.00713382600979,0.752746264682,0.254972948966,0.0072252627471,0.00724439708301,-0.0493877909602,4683715,0.859497109613253,0.858682648325186
"151","real",-2.10251737407,0.00713974091745,0.75204900129,0.252183516396,0.00714986365136,0.00721919396023,-0.0356124420005,4523834,0.860209749090361,0.858682648325186
"47","real",-2.36385034906,0.00710317560733,0.75232814856,0.248349967452,0.00705450147446,0.00722194164355,-0.053213173753,4970566,0.855804290039759,0.861394509470013
"92","real",2.36385034906,0.00716954307387,0.752826703547,0.25270966205,0.00722904225648,0.00725378753443,-0.0375800418898,4878160,0.863800370345783,0.861394509470013
"49","real",2.64719606905,0.00715335677912,0.749495189549,0.251828706219,0.00710844199805,0.00723067372082,-0.0346000512652,4946596,0.861850214351807,0.864112311228687
"149","real",-2.64719606905,0.00723285676989,0.749546314541,0.253486500226,0.00721430697796,0.00727707451097,-0.0196616889065,5047114,0.871428526492771,0.864112311228687
"99","real",2.95440872386,0.00722422536466,0.747977642687,0.254261523609,0.00718756187585,0.00727986003523,-0.0247288407213,5142739,0.870388598151807,0.866867539247178
"181","real",-2.95440872386,0.00716948355024,0.751872501711,0.252253516145,0.00717638998837,0.00728672707575,-0.052064033915,5242694,0.863793198824096,0.866867539247178
"39","real",3.28749868648,0.00716123512284,0.750337457335,0.253613560105,0.00714950824397,0.00726157441568,-0.0447118101963,5613278,0.862799412390361,0.86943236930394
"159","real",-3.28749868648,0.00721187232983,0.752433936533,0.25322966335,0.00726058703512,0.00730686384425,-0.0420664343094,5509533,0.86890028070241,0.86943236930394
"52","real",3.64864566872,0.00723869864306,0.75141551279,0.251456501902,0.00724265057634,0.00732855321583,-0.0396738456347,5806000,0.872132366633735,0.871955023466179
"145","real",-3.64864566872,0.00728440039153,0.751106598442,0.254534063342,0.00732620250271,0.00732958276078,-0.0199467450418,5753334,0.877638601389157,0.871955023466179
"34","real",4.04021298514,0.00718465566597,0.75352054811,0.250397599816,0.00721442052017,0.00730224909721,-0.0521085975668,6301611,0.865621164574699,0.874255637392393
"163","real",-4.04021298514,0.00726311866694,0.74890020262,0.253752367627,0.00722990655175,0.00730673260973,-0.0193145773717,6391586,0.875074538185542,0.874255637392393
"64","real",-4.46476301828,0.00725908142028,0.752692473707,0.254175379185,0.00732801143778,0.0073337263969,-0.0329351034118,6432999,0.874588122925301,0.876186644184433
"135","real",4.46476301828,0.00731491794651,0.751466601826,0.252654236999,0.00733315706539,0.00735672774434,-0.0183897814532,6445057,0.881315415242169,0.876186644184433
"35","real",4.92507398676,0.0073193182063,0.750403868048,0.251038507988,0.00727685053655,0.00736246392831,-0.0189626066284,6710526,0.881845567024096,0.878169778088119
"162","real",-4.92507398676,0.0073050959632,0.750754737451,0.253689624044,0.00731820078716,0.00735656214357,-0.0226376091002,6766644,0.880132043759036,0.878169778088119
"4","real",5.42415812564,0.00736407518575,0.747786926226,0.256363743904,0.00733624462131,0.0073526287286,0.0050374647638,6814333,0.887237974186747,0.880129936493652
"196","real",-5.42415812564,0.00721709955208,0.752876918172,0.252920864189,0.00725350597944,0.00732981146624,-0.0497577434598,6921217,0.869530066515663,0.880129936493652
