"","label","mid","pi","xsi","pi2","fwh","theta_W","tajima","sites","B","Bsmooth"
"80","real",-3.22217139002,0.0075131725155,0.751318024944,0.252719726015,0.00752151917369,0.00752421983826,-0.00475096881016,12028995,0.905201507891566,0.906227148869399
"112","real",3.22217139002,0.00753601212646,0.750780105343,0.252513212397,0.00752841590878,0.00755098837242,-0.00641779444912,12076256,0.907953268248193,0.906227148869399
"27","real",3.47257150886,0.00754038194836,0.751135813412,0.252401557789,0.00754524099049,0.00757031513398,-0.0127945695554,12236111,0.908479752814458,0.907586252656459
"171","real",-3.47257150886,0.00755175265174,0.750104036482,0.252308097163,0.00752907981401,0.00755302062315,-0.0005432196541,12205471,0.909849717077108,0.907586252656459
"47","real",-3.73782185846,0.00754649972215,0.750577182312,0.253980727904,0.00756800358189,0.00755942258924,-0.00553167920053,12364764,0.909216833993976,0.908861019261194
"55","real",3.73782185846,0.00751927839017,0.751213050801,0.250728389264,0.00748614805867,0.0075577568017,-0.016474450857,12341761,0.905937155442169,0.908861019261194
"49","real",4.0188031467,0.00755582443779,0.750025450742,0.252108420006,0.00751322886184,0.00758003173518,-0.0103338468052,12348285,0.910340293709639,0.909867370812996
"149","real",-4.0188031467,0.00754615519506,0.751736053594,0.253222723587,0.00757609487848,0.00756909176995,-0.00980554026031,12349261,0.909175324706024,0.909867370812996
"8","real",4.31644831272,0.00755340430548,0.750997919739,0.252791650089,0.00755364212219,0.00757533849806,-0.00936928402047,12557283,0.910048711503614,0.910851801590463
"188","real",-4.31644831272,0.00757501512872,0.751080576125,0.251861214021,0.00756597616246,0.00759316937285,-0.00773645319973,12607692,0.912652425146988,0.910851801590463
"65","real",-4.63174562452,0.00758464812454,0.752281542007,0.253241005918,0.00762974464428,0.00758352915676,0.000477455558758,12327502,0.913813027053012,0.912200290150555
"130","real",4.63174562452,0.00754975025551,0.751271396375,0.252702587128,0.00755915710386,0.00757546064654,-0.010982124022,12258705,0.909608464519277,0.912200290150555
"15","real",4.96574196038,0.00758279383494,0.750144002386,0.254108926663,0.00758278449008,0.00759032771657,-0.00321177522976,12830523,0.91358961866747,0.913598759326581
"18","real",-4.96574196038,0.00755331274342,0.750593412514,0.253854600314,0.00756517225092,0.00758081828244,-0.0117406178871,12848729,0.910037679930121,0.913598759326581
"53","real",5.31954628469,0.00760940839449,0.749003822652,0.253660027825,0.00757393932877,0.00758453416204,0.0106122522744,12516780,0.916796192107229,0.914989704674933
"143","real",-5.31954628469,0.00758094848355,0.750339848383,0.253198813617,0.00756786440649,0.00759632442638,-0.00654975520854,12599833,0.913367287174699,0.914989704674933
"85","real",-5.69433333014,0.00760448844542,0.748927489685,0.252274564927,0.00754310156412,0.00759213862906,0.00526360468941,12885504,0.916203427159036,0.916349705204719
"125","real",5.69433333014,0.00757959639367,0.751232103977,0.251340588354,0.00756723976703,0.0075961910561,-0.00706902357396,12848728,0.913204384779518,0.916349705204719
