,distance,label,pi,fam_div_jc,rat_div_jc,tajima,sites
56,1680,all,0.00873737304058,0.0358177529895,0.16536210232,-0.473077078028,347153
57,1710,all,0.00879247728073,0.0366462883611,0.167150692895,-0.506852845658,295593
58,1740,all,0.00933586952108,0.037472151533,0.166405868046,-0.400473689987,299441
59,1770,all,0.00926233142355,0.037127081935,0.168564981319,-0.416508782753,244540
60,1800,all,0.00899565808778,0.0368658014475,0.167830388893,-0.41433425571,230386
61,1830,all,0.00919130804524,0.0374978076675,0.170042285176,-0.416350670985,212654
62,1860,all,0.00882922083476,0.0361765886067,0.166370725468,-0.447929881032,187072
63,1890,all,0.0088506185228,0.036571284323,0.16934408,-0.412140998376,166947
64,1920,all,0.00890180277234,0.0386188876044,0.168026596923,-0.524181616439,161710
65,1950,all,0.00922916717483,0.0369812126015,0.166429127248,-0.439799394064,140255
66,1980,all,0.00851138288706,0.0364263117719,0.165119714256,-0.476416829938,124677
67,2010,all,0.00895843101038,0.0371569956032,0.169641438648,-0.437287560697,111471
68,2040,all,0.00911956915884,0.0375675261351,0.16702576357,-0.42163404576,103924
69,2070,all,0.00906482443525,0.0368525060353,0.16925222516,-0.463932949267,107086
70,2100,all,0.00939622118026,0.0380608489824,0.166192254173,-0.43965884236,94850
71,2130,all,0.00940037214248,0.0368926831431,0.170368750339,-0.459762300129,99000
72,2160,all,0.00970962759047,0.0362916791363,0.165932891509,-0.304405121234,72881
73,2190,all,0.00886205147542,0.0369007246122,0.165867646844,-0.500669585132,59043
74,2220,all,0.00887216109662,0.0378045247126,0.16550263886,-0.513415960929,69926
75,2250,all,0.00940226165905,0.0374349591368,0.174184378057,-0.546359302912,63698
76,2280,all,0.00922727455071,0.0366069144218,0.169958394614,-0.409657127903,52480
