,distance,label,pi,fam_div_jc,rat_div_jc,tajima,sites
42,84,autosomes,0.00950056013828,0.0382124878471,0.172566668499,-0.435586261473,609389
43,86,autosomes,0.00951727302809,0.0389516276551,0.172520903026,-0.4421452454,570692
44,88,autosomes,0.00952646822555,0.0385127186327,0.173034222937,-0.442102283029,522048
45,90,autosomes,0.00957980117338,0.0388223481426,0.172734217718,-0.401416438866,499806
46,92,autosomes,0.00963547774868,0.0386169120955,0.172001839324,-0.435910837341,458427
47,94,autosomes,0.0097054815215,0.0389335216035,0.174382471141,-0.383988322726,419291
48,96,autosomes,0.00969786142448,0.0391069897997,0.174747483667,-0.435626061162,403675
49,98,autosomes,0.00964164814878,0.0389419087016,0.171954087561,-0.437203987182,374247
50,100,autosomes,0.00962309650138,0.038670209394,0.174265204735,-0.414598495381,354230
51,102,autosomes,0.00966528325765,0.0394197269606,0.173805473668,-0.449988061065,339360
52,104,autosomes,0.00956793447892,0.038989703876,0.172698916972,-0.458017353685,312237
53,106,autosomes,0.00964108034574,0.0388753456855,0.172920080594,-0.423312629523,288927
54,108,autosomes,0.00977919982477,0.0381657914234,0.174561821216,-0.404198798168,278735
55,110,autosomes,0.00989080298984,0.0393454276312,0.174890130064,-0.373360662339,264693
56,112,autosomes,0.00987875263994,0.0393892340916,0.172888814036,-0.388998474103,247389
57,114,autosomes,0.00960419802211,0.0384215365874,0.172302351573,-0.414752972876,233353
58,116,autosomes,0.00968573534223,0.0391905453878,0.175491775596,-0.468140027978,215246
59,118,autosomes,0.0100483855041,0.0401122965539,0.175049379225,-0.404198957882,205205
60,120,autosomes,0.00945469471653,0.0377243350756,0.172786597409,-0.411489304357,201053
61,122,autosomes,0.00978649868847,0.0394315490661,0.175367053166,-0.390004670905,191420
62,124,autosomes,0.0097856493161,0.0384984990358,0.173135855664,-0.40950994872,174807
63,126,autosomes,0.00963876766003,0.0385929547879,0.171849387113,-0.435349196879,167558
64,128,autosomes,0.00978256695072,0.0389795336142,0.175574260548,-0.402843305809,152117
65,130,autosomes,0.00977309154863,0.0385328357617,0.176401550391,-0.432254810925,149868
66,132,autosomes,0.00963772142584,0.0383366953557,0.173589791036,-0.411368584421,140180
67,134,autosomes,0.00945309679265,0.0380603311235,0.175697251864,-0.393747214308,129154
68,136,autosomes,0.00977415080328,0.0386202815548,0.172933952656,-0.368468514464,126505
69,138,autosomes,0.00985646333591,0.0396678000697,0.172843055913,-0.435916787087,119445
70,140,autosomes,0.00977728189179,0.0392732582187,0.17566729819,-0.431875507874,111231
71,142,autosomes,0.00997865804739,0.0390850049307,0.175277158998,-0.339062398814,104637
72,144,autosomes,0.00994158525433,0.0394431281884,0.173525750145,-0.418794634921,108318
73,146,autosomes,0.00964158639695,0.0399130874283,0.175024401059,-0.444181357491,101030
74,148,autosomes,0.00967183846431,0.0393707980334,0.174928789383,-0.428726563673,95189
75,150,autosomes,0.00989317287476,0.0400400780849,0.173307471197,-0.405442971078,87766
76,152,autosomes,0.0101027062693,0.0386105941181,0.173476664862,-0.373193180468,84313
77,154,autosomes,0.0097035117329,0.0400538703162,0.176483868147,-0.397585904974,81173
78,156,autosomes,0.010298880395,0.0412885591404,0.17596904393,-0.416575932141,73682
79,158,autosomes,0.00988108133997,0.0395522462163,0.179875229049,-0.385950339827,74726
80,160,autosomes,0.00950879426059,0.0376391177575,0.173140284098,-0.449175812991,69136
81,162,autosomes,0.00950507848569,0.0392700280223,0.174151499484,-0.467449667592,71250
82,164,autosomes,0.00952654077846,0.0385753427539,0.172750598895,-0.412041989892,66436
83,166,autosomes,0.00952436422342,0.0397678304028,0.175667175632,-0.43220216839,64159
84,168,autosomes,0.00997441489992,0.038756376718,0.177668564793,-0.371191562334,59965
85,170,autosomes,0.00947944227977,0.0400285640034,0.17445114051,-0.59561916825,59596
86,172,autosomes,0.0101471477288,0.038106640507,0.172690038976,-0.405200321804,53802
87,174,autosomes,0.00961820502454,0.0378221663517,0.171137506702,-0.412379292263,53112
88,176,autosomes,0.00986609344402,0.0383252126216,0.169540476059,-0.381884530992,51442
89,178,autosomes,0.0100599814482,0.0390193761155,0.178055622835,-0.454740267323,49761
90,180,autosomes,0.00989155243891,0.0403068496029,0.17274748845,-0.464492876875,49716
