,Unnamed: 0,rep,NeSa,pa,AIC,identifier,product
27,27,27,2.3533975103099998,0.0,-23094.4866264,Exp.Nes10_dDFE.Exponential,0.0
28,28,28,0.004263470457235,8.8393574965,-23244.3493797,Exp.Nes10_dDFE.Exponential,0.0007537267909453297
29,29,29,49979.279718599995,1.81195214388e-06,-23046.8040774,Exp.Nes10_dDFE.Exponential,0.0018112012607139094
30,30,30,0.23757519067600003,1.10683895382e-06,-23134.3181579,Exp.Nes10_dDFE.Exponential,5.259149510028218e-09
31,31,31,47313.941408549996,3.6321340379800005e-07,-23168.5439188,Exp.Nes10_dDFE.Exponential,0.0003437011541219717
32,32,32,8.45456486085,3.812672400019999e-09,-23136.1927037,Exp.Nes10_dDFE.Exponential,6.446897219828344e-10
33,33,33,47589.872827700005,7.268950091839998e-05,-23131.788289300002,Exp.Nes10_dDFE.Exponential,0.06918568209231277
34,34,34,32.5508926342,1.52428070166e-09,-23179.793245599998,Exp.Nes10_dDFE.Exponential,9.92333949282354e-10
35,35,35,0.59440998832,1.22199899089e-05,-23277.8165528,Exp.Nes10_dDFE.Exponential,1.4527368118039535e-07
36,36,36,41645.7032288,6.5636308055299995e-06,-23162.9560845,Exp.Nes10_dDFE.Exponential,0.005466940412610237
37,37,37,47.21642592395,3.1598057503900003e-09,-23149.177632599996,Exp.Nes10_dDFE.Exponential,2.983894682947214e-09
38,38,38,92.604828748,0.0,-23164.7266619,Exp.Nes10_dDFE.Exponential,0.0
39,39,39,49532.446616249996,1.08787556741e-06,-23117.5264577,Exp.Nes10_dDFE.Exponential,0.00107770276935717
40,40,40,16.98336062215,2.80795942054e-08,-23256.6353184,Exp.Nes10_dDFE.Exponential,9.537717490278833e-09
41,41,41,11.38702091395,9.490858099430002e-08,-23034.210338900004,Exp.Nes10_dDFE.Exponential,2.1614519933908237e-08
42,42,42,0.004906040274035,170.19783592599998,-23187.214566799998,Exp.Nes10_dDFE.Exponential,0.016699948752131138
43,43,43,7.420272930649999,1.0547118733899999e-12,-23210.2780495,Exp.Nes10_dDFE.Exponential,1.5652499927501932e-13
44,44,44,29464.928104850005,6.83338496899e-07,-23174.958748700003,Exp.Nes10_dDFE.Exponential,0.000402690393648106
45,45,45,34929.2924091,2.9669880441399997e-06,-23209.5323415,Exp.Nes10_dDFE.Exponential,0.0020726958593613952
46,46,46,49846.401113,1.23887305969e-06,-23156.930490799998,Exp.Nes10_dDFE.Exponential,0.0012350672692279464
47,47,47,2.249512736955,7.43764438926e-07,-23224.97436,Exp.Nes10_dDFE.Exponential,3.346215157316452e-08
48,48,48,40499.89383265,7.02263913688e-07,-23200.7500118,Exp.Nes10_dDFE.Exponential,0.0005688322789373057
49,49,49,32706.600280149996,1.51911538904e-07,-23104.2389715,Exp.Nes10_dDFE.Exponential,9.937019961751168e-05
50,50,50,0.004208558673780001,3.0215466664200004,-23136.4128271,Exp.Nes10_dDFE.Exponential,0.0002543271286238588
51,51,51,43100.5465122,3.41765897249e-05,-23145.3757576,Exp.Nes10_dDFE.Exponential,0.029460593901328585
52,52,52,3.40057429735,1.6827483850799998e-08,-23130.136493,Exp.Nes10_dDFE.Exponential,1.1444621814420535e-09
53,53,53,49224.999561649995,1.9730501676899998e-06,-23268.487300999997,Exp.Nes10_dDFE.Exponential,0.001942467872793074
54,54,54,33.1452833848,0.0,-23104.267517900003,Exp.Nes10_dDFE.Exponential,0.0
55,55,55,39970.7275648,5.59949764334e-06,-23195.153939900003,Exp.Nes10_dDFE.Exponential,0.0044763198960336556
56,56,56,41.38884551094999,6.65578703263e-11,-23211.0585944,Exp.Nes10_dDFE.Exponential,5.5095068249461477e-11
57,57,57,0.47579968034099995,1.66533453694e-13,-23159.1439536,Exp.Nes10_dDFE.Exponential,1.5847312806737584e-15
58,58,58,9.1748489923,3.3779257169200006e-08,-23221.652385900004,Exp.Nes10_dDFE.Exponential,6.198391671989544e-09
59,59,59,31.170027306099996,8.45906678038e-09,-23223.679847,Exp.Nes10_dDFE.Exponential,5.27338685057136e-09
60,60,60,0.978787234955,3.3245572961199996e-07,-23145.5404683,Exp.Nes10_dDFE.Exponential,6.5080684866375314e-09
61,61,61,0.9794719754099999,2.4507179619e-07,-23142.167358500003,Exp.Nes10_dDFE.Exponential,4.800819126629924e-09
62,62,62,0.00756840632945,830.774282738,-23141.1592159,Exp.Nes10_dDFE.Exponential,0.12575274679637127
63,63,63,631.3206112400001,1.84396720115e-07,-23148.1367987,Exp.Nes10_dDFE.Exponential,2.32826900107306e-06
64,64,64,14.41789389135,0.0,-23164.3827806,Exp.Nes10_dDFE.Exponential,0.0
65,65,65,25.18372467155,5.551115123129999e-14,-23141.249352900002,Exp.Nes10_dDFE.Exponential,2.7959550976196656e-14
66,66,66,28581.089870949996,5.351979970310001e-08,-23111.8098249,Exp.Nes10_dDFE.Exponential,3.059308410379089e-05
67,67,67,0.61096417617,1.6710337002999998e-06,-23131.1407468,Exp.Nes10_dDFE.Exponential,2.041883456112192e-08
68,68,68,21.473937205749998,1.14008802399e-09,-23194.365976099998,Exp.Nes10_dDFE.Exponential,4.896435727237772e-10
69,69,69,12.829105807850002,8.711920074229999e-10,-23088.951204799996,Exp.Nes10_dDFE.Exponential,2.235322888436582e-10
70,70,70,6.5252885028500005,8.08895728177e-08,-23186.303086,Exp.Nes10_dDFE.Exponential,1.0556555990155714e-08
71,71,71,43994.404832650005,1.7124635987e-05,-23132.7504124,Exp.Nes10_dDFE.Exponential,0.0150677633644769
72,72,72,161.740143021,8.65859606236e-08,-23228.025456599997,Exp.Nes10_dDFE.Exponential,2.8008851309743475e-07
73,73,73,5.5712119712499995,3.3392677511999997e-08,-23219.0594841,Exp.Nes10_dDFE.Exponential,3.720753694138901e-09
74,74,74,27944.72194245,9.98790328222e-07,-23127.0464931,Exp.Nes10_dDFE.Exponential,0.0005582183600194433
75,75,75,36889.57155265,0.00101670293862,-23309.545076299997,Exp.Nes10_dDFE.Exponential,0.7501147160402403
76,76,76,0.39308141885900005,3.18949533451e-07,-23108.671787299998,Exp.Nes10_dDFE.Exponential,2.5074627030667034e-09
77,77,77,1.01694217842,3.84762266492e-06,-23255.7107692,Exp.Nes10_dDFE.Exponential,7.825619549203821e-08
