Unnamed: 0,rep,NeSa1,pa1,NeSa2,pa2,AIC,identifier,product1,product2
318,318,1.349598249045,5.63394448223,0.054430433302,109.6506808538889,-27411.787463999997,BimodalDFE,0.30414246433737396,0.10743001327325678
319,319,1.4350446934299999,5.198000680769999,7.578989544050001,0.5516182607677778,-27459.1081893,BimodalDFE,0.2983745317353806,0.07525276255198861
320,320,2.1002632221275004,3.491914810119999,11.471416045049999,25.711336091000003,-11101.378056200001,BimodalDFE,0.2933576100198947,5.3090178007314694
321,321,1.3432741433549997,5.645919786159999,2.5495457009899996,2.4865856213555553,-27460.530331,BimodalDFE,0.3033607225682047,0.11411394625927086
322,322,1.2072093635749999,27.058527060299998,17.5001633492,190.4616136555556,-6759.22586179,BimodalDFE,1.306612289269667,59.99596831303999
323,323,1.3496611063275,5.6881038747599995,3.120137122525,2.089535429577778,-27499.607148900002,BimodalDFE,0.3070805027405728,0.11735346712782325
324,324,1.09492702633,10.4587890709,7.483649290300001,10.407878512566667,-17211.5982695,BimodalDFE,0.4580644326565296,1.4020004275937668
325,325,1.33958094355,5.68076400645,2.7002601903800003,2.224625977522222,-27456.056804699998,BimodalDFE,0.30439372831380673,0.10812724138059208
326,326,1.3590533224374999,5.5394508680299985,3.033330871495,2.0191586285333334,-27533.6214463,BimodalDFE,0.30113636426701856,0.11024597164276197
327,327,1.552406727015,0.043835904925999994,23.4114941136,0.30340637663777786,-19165.0477635,BimodalDFE,0.002722046147676495,0.12785753881231274
328,328,1.8566206041650002,62.4201873342,15.2273552059,557.0984243722222,-5330.02857982,BimodalDFE,4.635624236820596,152.69644066613483
329,329,1.2887742611625002,6.2226784452,1.152011469055,70.85608779744445,-27516.7958924,BimodalDFE,0.3207851126265778,1.4692864643104326
330,330,1.4542776131225,92.52839438829999,11.474134618049998,565.1233048177778,-6139.37856809,BimodalDFE,5.382478901482969,116.71741575497674
331,331,1.8950705457675,1820.9637986999999,9.52838277255,6.998535369533332,-3212.23262024,BimodalDFE,138.03419439301075,1.2003250292665784
332,332,2.264918014865,154.805311139,3.6756510880999995,383.83644411888895,-4696.73631836,BimodalDFE,14.024853519820102,25.39527918260452
333,333,1.361284080905,5.50281549813,3.082291620825,1.9781641900666667,-27478.581174699997,BimodalDFE,0.2996358055104675,0.10975102033785407
334,334,1.36916096616,23.082992812999997,9.699730815399999,1.8548303201111112,-12819.1318949,BimodalDFE,1.2641733096684566,0.32384438663975984
335,335,1.3345695642675,5.7193812481699995,2.7477358024850003,2.061311504966667,-27450.580447099997,BimodalDFE,0.30531648560999786,0.10195090960088066
336,336,1.3504646273624998,5.590147556869999,3.1740443947,1.6393381289222222,-27558.1164208,BimodalDFE,0.3019718614915933,0.09365997598422417
337,337,1.3690073917649999,5.4668221772,0.0537572879655,108.60894973877778,-27508.755168199998,BimodalDFE,0.29936479880206524,0.10509340656128388
338,338,1.3294439840949999,5.653933405279999,20.0669874618,78.93207151855556,-21155.460554799996,BimodalDFE,0.30066351008493014,28.510720010941593
339,339,1.3456982807325,5.674001713339999,2.2313505512950003,2.889169095566667,-27450.183170099997,BimodalDFE,0.30541977402059584,0.11604148297518888
340,340,1.4571811751100001,4.62874126826,2.2477539155749997,1047.5375745822223,-23019.014446,BimodalDFE,0.26979658562253034,42.38292032962431
341,341,1.913204486345,1.0703898178799998,33.4633072537,3.6953027673888887,-9532.6184302,BimodalDFE,0.08191498406824092,2.225826934210481
342,342,3.513218705475,4476.73723736,30.495336559,4.304549282455556e-05,-7471.81458111,BimodalDFE,629.1102800715851,2.362836223859114e-05
343,343,1.3304652157974999,5.746554797919999,2.58163673571,2.2951746966888886,-27462.5925189,BimodalDFE,0.30582365077227164,0.10665553161319365
344,344,0.5637210642125,30.7881939219,10.27645107835,22.650941250888888,-12190.860847799999,BimodalDFE,0.6942381377133717,4.189883213580113
345,345,1.44281833342,4.6202815156499994,2.847155173525,0.5818665165033334,-26919.451042,BimodalDFE,0.2666490750536546,0.029819956729741838
346,346,1.6799857736075001,4.07597016893,3.3010319508049997,5.8245220789222225,-26621.1277357,BimodalDFE,0.27390287589803836,0.34608480265244546
