,Unnamed: 0,rep,NeSa,pa,AIC,identifier,product
17,17,17,1.720372811005,7.253136979910001e-07,-23203.3464655,Nes10_dDFE.Exponential_div10,2.495619930946417e-09
18,18,18,39.12303606844999,8.03684896411e-08,-23172.3879475,Nes10_dDFE.Exponential_div10,6.288518637991211e-09
19,19,19,6.53051514215,1.7346069025600002e-07,-23234.2383645,Nes10_dDFE.Exponential_div10,2.265575328569198e-09
20,20,20,41.863230391900004,1.99962268965e-08,-23116.704888900003,Nes10_dDFE.Exponential_div10,1.6742133070737744e-09
21,21,21,29.479343016349997,1.6964096794e-07,-23204.172124200002,Nes10_dDFE.Exponential_div10,1.0001808567057785e-08
22,22,22,20.7174785754,2.29591901046e-07,-23186.3320185,Nes10_dDFE.Exponential_div10,9.513130582011726e-09
23,23,23,41.857288103900004,2.06445971429e-09,-23154.7606532,Nes10_dDFE.Exponential_div10,1.7282537007986324e-10
24,24,24,46.2681035231,2.49633647087e-09,-23177.2110866,Nes10_dDFE.Exponential_div10,2.3100150852540656e-10
25,25,25,21.014271862549997,1.33903999e-08,-23241.513581799998,Nes10_dDFE.Exponential_div10,5.627790076937246e-10
26,26,26,58.518120786500006,1.0649814363700001e-08,-23131.9322558,Nes10_dDFE.Exponential_div10,1.2464142465775987e-09
27,27,27,4.981951343425001,0.0,-23192.586272999997,Nes10_dDFE.Exponential_div10,0.0
28,28,28,17.145317134949998,3.3055225223699995e-08,-23127.221303,Nes10_dDFE.Exponential_div10,1.13348463885507e-09
29,29,29,74.7523138505,8.48210390814e-10,-23207.4153507,Nes10_dDFE.Exponential_div10,1.2681137869076677e-10
30,30,30,26.418816794,1.91618387824e-07,-23101.783456999998,Nes10_dDFE.Exponential_div10,1.0124662164567794e-08
31,31,31,14.114001414899999,5.35712030292e-07,-23158.1728318,Nes10_dDFE.Exponential_div10,1.512208070704048e-08
32,32,32,24.7604216717,3.2246427750199998e-09,-23247.8282117,Nes10_dDFE.Exponential_div10,1.5968702970019208e-10
33,33,33,38.859736955349995,2.8144153674200002e-09,-23183.7269856,Nes10_dDFE.Exponential_div10,2.1873488172207185e-10
34,34,34,32.42819389945,4.85833595576e-09,-23233.9691074,Nes10_dDFE.Exponential_div10,3.150941208041101e-10
35,35,35,1.88235717403,4.0883851859499996e-07,-23142.7379745,Nes10_dDFE.Exponential_div10,1.5391602369941916e-09
36,36,36,3.121393480355,3.9058922762800003e-07,-23166.6960518,Nes10_dDFE.Exponential_div10,2.438365337229869e-09
37,37,37,25.306065333849997,1.9801937867200002e-08,-23104.9501354,Nes10_dDFE.Exponential_div10,1.002218266808403e-09
38,38,38,57.712921443000006,1.28062560556e-07,-23237.689162,Nes10_dDFE.Exponential_div10,1.4781728994315717e-08
39,39,39,18.60814279935,7.9214412807e-10,-23185.9630806,Nes10_dDFE.Exponential_div10,2.94806621055863e-11
40,40,40,62.432556163499996,3.9273029273099995e-08,-23191.9243754,Nes10_dDFE.Exponential_div10,4.90383121160719e-09
41,41,41,37.2367557166,3.2891467327499995e-08,-23164.7026994,Nes10_dDFE.Exponential_div10,2.449543068069295e-09
42,42,42,19.964065240049997,2.0249635301899998e-07,-23145.8197941,Nes10_dDFE.Exponential_div10,8.085300805087023e-09
43,43,43,39.628201786800005,9.86932757741e-09,-23179.2551288,Nes10_dDFE.Exponential_div10,7.82207409475267e-10
44,44,44,20.07118137905,2.5452973062599997e-08,-23142.8441341,Nes10_dDFE.Exponential_div10,1.0217424779510367e-09
45,45,45,48.37877535209999,4.757860772029999e-09,-23153.3550213,Nes10_dDFE.Exponential_div10,4.603589548932168e-10
46,46,46,4.19354365475,1.9822032903999998e-07,-23152.944646,Nes10_dDFE.Exponential_div10,1.6624912061762982e-09
47,47,47,0.104904738771,0.0027115261641599995,-23173.251416599996,Nes10_dDFE.Exponential_div10,5.689038878438728e-07
48,48,48,13.687427527149998,3.3736902160799995e-08,-23191.497623099996,Nes10_dDFE.Exponential_div10,9.235428066330003e-10
49,49,49,0.049818681094350004,23.9358250361,-23123.1057602,Nes10_dDFE.Exponential_div10,0.002384902468407249
50,50,50,30.522142612849997,1.8720136552e-07,-23150.2056991,Nes10_dDFE.Exponential_div10,1.14275735514434e-08
51,51,51,39.842766084699996,8.90892914995e-08,-23188.404260799998,Nes10_dDFE.Exponential_div10,7.09912760373246e-09
52,52,52,41.899475373,2.27634577854e-08,-23167.041133099996,Nes10_dDFE.Exponential_div10,1.907553877767385e-09
53,53,53,44.39126663665,3.87567755666e-08,-23184.6411792,Nes10_dDFE.Exponential_div10,3.440924716307485e-09
54,54,54,75.569420402,2.02865502175e-08,-23108.2566712,Nes10_dDFE.Exponential_div10,3.066085683785084e-09
55,55,55,63.0911174095,0.0,-23113.0529652,Nes10_dDFE.Exponential_div10,0.0
56,56,56,44.068535720949995,8.111539218089999e-07,-23111.464114200004,Nes10_dDFE.Exponential_div10,7.149273115685718e-08
57,57,57,16.2107036349,2.6367907857100003e-07,-23169.3471715,Nes10_dDFE.Exponential_div10,8.548846794875985e-09
58,58,58,7.5071829146499995,1.4868939412999999e-06,-23091.2340412,Nes10_dDFE.Exponential_div10,2.2324769584047917e-08
59,59,59,0.096604911115,0.00026021408749999996,-23194.509588999998,Nes10_dDFE.Exponential_div10,5.0275917587616656e-08
60,60,60,24.901016852599998,4.83224571468e-09,-23074.2523585,Nes10_dDFE.Exponential_div10,2.406556639543016e-10
61,61,61,1.61545876076,1.86690751747e-05,-23191.5194077,Nes10_dDFE.Exponential_div10,6.031824209251229e-08
62,62,62,29.064504412950004,2.1534996008699997e-08,-23174.7222033,Nes10_dDFE.Exponential_div10,1.2518079730554438e-09
63,63,63,12.71960287145,3.09463565884e-08,-23197.3841709,Nes10_dDFE.Exponential_div10,7.872507322454566e-10
64,64,64,26.389961646950002,2.9521551869699997e-07,-23269.2354211,Nes10_dDFE.Exponential_div10,1.558145243199656e-08
65,65,65,6.728157195650001,1.03607844526e-06,-23136.8728026,Nes10_dDFE.Exponential_div10,1.3941797293467869e-08
66,66,66,43.858507339750005,7.63833440942e-09,-23118.2321223,Nes10_dDFE.Exponential_div10,6.700118915180242e-10
67,67,67,35.27291131655001,1.76347825231e-08,-23045.3764443,Nes10_dDFE.Exponential_div10,1.2440602400479045e-09
68,68,68,11.643890267299998,9.65597601876e-07,-23066.7965737,Nes10_dDFE.Exponential_div10,2.2486625037224353e-08
