,rep,NeSa,pa,AIC,identifier
141,141,1042.66556634,8.05633337819e-13,-23096.1373033,Nes10_dDFE.Exponential_div10
142,142,382.702274566,3.08371661539e-11,-23149.0106085,Nes10_dDFE.Exponential_div10
143,143,105.764369981,9.20546971983e-12,-23116.406335,Nes10_dDFE.Exponential_div10
144,144,2.89963088135,0.0,-23168.2818728,Nes10_dDFE.Exponential_div10
145,145,666.125027918,8.15425504896e-12,-23206.3393051,Nes10_dDFE.Exponential_div10
146,146,888.359975132,7.77489184145e-13,-23169.5654317,Nes10_dDFE.Exponential_div10
147,147,133.546733633,7.22071291648e-11,-23182.5608658,Nes10_dDFE.Exponential_div10
148,148,587.319981333,8.63065174883e-12,-23146.781519,Nes10_dDFE.Exponential_div10
149,149,1005.62536932,1.50934820198e-13,-23123.461519,Nes10_dDFE.Exponential_div10
150,150,1345.10299121,5.73296965456e-12,-23191.4901014,Nes10_dDFE.Exponential_div10
151,151,230.196565771,8.03190847165e-13,-23168.7028517,Nes10_dDFE.Exponential_div10
152,152,2.17308914841,2.18230883364e-09,-23133.7381349,Nes10_dDFE.Exponential_div10
153,153,800.611304195,9.72288916046e-12,-23241.683498,Nes10_dDFE.Exponential_div10
154,154,102.140474682,0.0,-23174.8281048,Nes10_dDFE.Exponential_div10
155,155,887.851707931,1.78462800093e-12,-23269.6439066,Nes10_dDFE.Exponential_div10
156,156,1330.19570623,3.98514554689e-13,-23115.3415943,Nes10_dDFE.Exponential_div10
157,157,868.813838695,1.67865721323e-13,-23126.5556325,Nes10_dDFE.Exponential_div10
158,158,295.669714886,2.26278995541e-11,-23233.814899,Nes10_dDFE.Exponential_div10
159,159,516.858599096,1.07913677994e-12,-23258.4394867,Nes10_dDFE.Exponential_div10
160,160,961.815642438,3.18611803607e-12,-23159.1578147,Nes10_dDFE.Exponential_div10
161,161,442.564680839,9.64184287966e-12,-23142.1104433,Nes10_dDFE.Exponential_div10
162,162,6224.32094217,2.65965027779e-12,-23184.1069871,Nes10_dDFE.Exponential_div10
163,163,239.878588596,4.94869145662e-11,-23101.2473198,Nes10_dDFE.Exponential_div10
164,164,590.807041875,3.30520055769e-11,-23146.8359527,Nes10_dDFE.Exponential_div10
165,165,1.94320087021,6.93592537293e-08,-23122.8772763,Nes10_dDFE.Exponential_div10
166,166,54.3254278139,6.10622663544e-16,-23127.239687,Nes10_dDFE.Exponential_div10
167,167,770.511105934,1.01119113083e-12,-23142.7467226,Nes10_dDFE.Exponential_div10
168,168,130.968308925,3.81310316655e-10,-23155.7528874,Nes10_dDFE.Exponential_div10
169,169,712.835551277,2.18436380095e-13,-23116.8726532,Nes10_dDFE.Exponential_div10
170,170,706.867610961,1.81549220102e-12,-23234.8418821,Nes10_dDFE.Exponential_div10
171,171,681.767157632,1.56835655574e-12,-23097.6949332,Nes10_dDFE.Exponential_div10
172,172,1530.86258796,8.42492742237e-13,-23194.4296682,Nes10_dDFE.Exponential_div10
173,173,912.115068456,1.10106368467e-12,-23116.3929181,Nes10_dDFE.Exponential_div10
174,174,790.066954812,3.13582493305e-13,-23151.6589219,Nes10_dDFE.Exponential_div10
175,175,320.827303131,2.50759968345e-11,-23157.6910946,Nes10_dDFE.Exponential_div10
176,176,136.410082477,8.29197821517e-12,-23172.6425305,Nes10_dDFE.Exponential_div10
177,177,684.419539335,8.53261905576e-13,-23161.3049449,Nes10_dDFE.Exponential_div10
178,178,714.208567004,8.87118156712e-12,-23258.2905815,Nes10_dDFE.Exponential_div10
179,179,194.288214511,3.96632726662e-12,-23155.1443389,Nes10_dDFE.Exponential_div10
180,180,645.58871724,0.0,-23124.2868117,Nes10_dDFE.Exponential_div10
181,181,631.318322512,7.25808302349e-13,-23129.4370828,Nes10_dDFE.Exponential_div10
182,182,1244.77450277,3.88578058619e-16,-23172.2808409,Nes10_dDFE.Exponential_div10
183,183,451.31608739,2.17083573339e-11,-23116.7841718,Nes10_dDFE.Exponential_div10
184,184,1008.4195599,7.40074668215e-13,-23136.5814929,Nes10_dDFE.Exponential_div10
185,185,1.97222981607,1.31113250257e-08,-23141.1651659,Nes10_dDFE.Exponential_div10
186,186,863.391517189,1.87516668859e-12,-23181.9022819,Nes10_dDFE.Exponential_div10
187,187,3708.80369187,1.02676145364e-10,-23121.1971027,Nes10_dDFE.Exponential_div10
188,188,1374.30859388,4.72122341222e-13,-23184.9295809,Nes10_dDFE.Exponential_div10
189,189,668.081169439,7.12485626053e-13,-23134.7497841,Nes10_dDFE.Exponential_div10
190,190,1435.37211995,4.7384318691e-13,-23131.9341739,Nes10_dDFE.Exponential_div10
191,191,137.224572939,1.13257181411e-11,-23149.2200223,Nes10_dDFE.Exponential_div10
192,192,996.622092625,2.3037127761e-13,-23197.1432282,Nes10_dDFE.Exponential_div10
193,193,649.875758967,5.00322006047e-13,-23182.8426731,Nes10_dDFE.Exponential_div10
194,194,62.4783848872,0.0,-23187.8711997,Nes10_dDFE.Exponential_div10
195,195,102.654072435,9.42573796792e-12,-23131.0120163,Nes10_dDFE.Exponential_div10
196,196,991.357205066,2.65015787093e-12,-23180.967966,Nes10_dDFE.Exponential_div10
197,197,751.904591782,9.90980075777e-11,-23162.7899701,Nes10_dDFE.Exponential_div10
198,198,516.79723571,1.20498055978e-12,-23223.9619481,Nes10_dDFE.Exponential_div10
199,199,760.665242827,3.65718566542e-12,-23160.5687954,Nes10_dDFE.Exponential_div10
200,200,2.38283568549,8.09603082907e-08,-23109.3893625,Nes10_dDFE.Exponential_div10
201,201,11.0140619457,0.0,-23164.7312339,Nes10_dDFE.Exponential_div10
202,202,47.2281158181,5.081278176e-10,-23138.2970831,Nes10_dDFE.Exponential_div10
203,203,1084.59584233,2.51854093136e-13,-23134.5551711,Nes10_dDFE.Exponential_div10
204,204,652.049276528,5.55111512313e-17,-23238.6335092,Nes10_dDFE.Exponential_div10
205,205,756.173899676,1.95066185427e-13,-23142.9715156,Nes10_dDFE.Exponential_div10
206,206,478.368963569,4.30361302151e-12,-23233.5248815,Nes10_dDFE.Exponential_div10
207,207,1106.83488499,5.57942581025e-13,-23209.3431134,Nes10_dDFE.Exponential_div10
208,208,284.120533594,2.49150700071e-12,-23183.8646438,Nes10_dDFE.Exponential_div10
209,209,2179.33666166,7.49267314859e-12,-23159.6386484,Nes10_dDFE.Exponential_div10
210,210,1016.19584317,0.0,-23233.8872003,Nes10_dDFE.Exponential_div10
211,211,32.3746428226,6.37918662338e-10,-23124.2284467,Nes10_dDFE.Exponential_div10
212,212,743.136435245,5.9829918797e-13,-23160.0384412,Nes10_dDFE.Exponential_div10
213,213,1334.94881891,6.18949336229e-14,-23176.8675432,Nes10_dDFE.Exponential_div10
214,214,659.33530864,5.85587134339e-13,-23100.5705862,Nes10_dDFE.Exponential_div10
215,215,212.600565491,7.00212110516e-12,-23152.529302,Nes10_dDFE.Exponential_div10
216,216,984.636928206,2.18935980456e-13,-23150.1079857,Nes10_dDFE.Exponential_div10
217,217,4.09558142911,1.0722649324e-08,-23048.7540478,Nes10_dDFE.Exponential_div10
218,218,2119.78595974,1.48381307241e-13,-23133.518758,Nes10_dDFE.Exponential_div10
219,219,525.74207291,1.49807943828e-12,-23175.7159564,Nes10_dDFE.Exponential_div10
220,220,631.619784148,5.31969746032e-10,-23170.2941266,Nes10_dDFE.Exponential_div10
221,221,489.198658251,1.89459559152e-12,-23158.9710929,Nes10_dDFE.Exponential_div10
222,222,368.850648097,7.95680188403e-12,-23245.9146539,Nes10_dDFE.Exponential_div10
223,223,422.891595007,7.31636973228e-13,-23166.7729026,Nes10_dDFE.Exponential_div10
224,224,278.606563622,4.19703161114e-12,-23142.1161159,Nes10_dDFE.Exponential_div10
225,225,21.3647240492,3.89266319178e-09,-23095.1422625,Nes10_dDFE.Exponential_div10
226,226,1415.85821934,1.68198788231e-14,-23210.0574826,Nes10_dDFE.Exponential_div10
227,227,189.087562221,8.89421869488e-12,-23151.0932644,Nes10_dDFE.Exponential_div10
228,228,922.003238726,4.80347983611e-11,-23138.7190524,Nes10_dDFE.Exponential_div10
229,229,2948.71189442,4.85883555612e-12,-23156.7913766,Nes10_dDFE.Exponential_div10
230,230,1661.70092384,1.42630351974e-12,-23243.5640535,Nes10_dDFE.Exponential_div10
231,231,33.8512285324,7.41888162015e-10,-23145.3794241,Nes10_dDFE.Exponential_div10
232,232,80.0503243052,7.94263210757e-10,-23211.3926273,Nes10_dDFE.Exponential_div10
233,233,446.490667049,4.25959267858e-12,-23184.8299099,Nes10_dDFE.Exponential_div10
234,234,1034.74156147,2.41234809906e-12,-23183.1136103,Nes10_dDFE.Exponential_div10
235,235,217.428756855,5.41644507024e-12,-23185.9280935,Nes10_dDFE.Exponential_div10
236,236,689.13319484,6.50091092069e-13,-23171.8756911,Nes10_dDFE.Exponential_div10
237,237,784.598256951,1.45328193923e-13,-23239.5123654,Nes10_dDFE.Exponential_div10
238,238,3.77420270531,7.25629656362e-09,-23194.7595168,Nes10_dDFE.Exponential_div10
239,239,656.760340195,4.55744331163e-11,-23174.6692625,Nes10_dDFE.Exponential_div10
240,240,702.324250428,3.94684285254e-13,-23183.3142143,Nes10_dDFE.Exponential_div10
241,241,711.116718893,5.90583137949e-13,-23054.7702747,Nes10_dDFE.Exponential_div10
242,242,13.7216643277,6.60239529715e-10,-23152.923907,Nes10_dDFE.Exponential_div10
243,243,673.061726499,5.62438984275e-13,-23124.6530859,Nes10_dDFE.Exponential_div10
244,244,44.5892023241,4.86660711729e-11,-23258.825518,Nes10_dDFE.Exponential_div10
245,245,111.66083363,2.08200678919e-10,-23189.7013041,Nes10_dDFE.Exponential_div10
246,246,842.73268091,5.1105231158e-12,-23137.5099833,Nes10_dDFE.Exponential_div10
247,247,428.120829177,3.77253783768e-13,-23155.4973346,Nes10_dDFE.Exponential_div10
248,248,941.177838006,3.86579657174e-13,-23131.4089208,Nes10_dDFE.Exponential_div10
249,249,1455.35866957,6.79145628624e-12,-23145.5291162,Nes10_dDFE.Exponential_div10
250,250,251.409655638,5.79486458818e-12,-23151.0152725,Nes10_dDFE.Exponential_div10
251,251,984.713288602,4.63740157386e-13,-23163.6521775,Nes10_dDFE.Exponential_div10
252,252,2.12381461673,4.12182621368e-10,-23281.1442003,Nes10_dDFE.Exponential_div10
253,253,1778.08957245,6.86672940731e-14,-23138.5245001,Nes10_dDFE.Exponential_div10
254,254,1.56092818221,2.95116150517e-07,-23137.7762262,Nes10_dDFE.Exponential_div10
255,255,1639.03970932,2.11765605052e-11,-23166.8034576,Nes10_dDFE.Exponential_div10
256,256,2.14202530052,9.96314264978e-08,-23051.0396953,Nes10_dDFE.Exponential_div10
257,257,2.62549118335,1.66533453694e-16,-23136.7264287,Nes10_dDFE.Exponential_div10
258,258,1694.0222293,2.85682588697e-12,-23178.1491293,Nes10_dDFE.Exponential_div10
259,259,1906.85792386,8.75188810312e-13,-23146.5022953,Nes10_dDFE.Exponential_div10
260,260,32.3651393103,9.58420565134e-11,-23214.3933899,Nes10_dDFE.Exponential_div10
261,261,401.576494207,8.68638494467e-13,-23232.3569464,Nes10_dDFE.Exponential_div10
262,262,959.745134237,7.5384143372e-13,-23168.0558713,Nes10_dDFE.Exponential_div10
263,263,2.04845380974,2.18020003162e-08,-23094.2916469,Nes10_dDFE.Exponential_div10
264,264,598.588499548,5.69723712651e-11,-23182.2071878,Nes10_dDFE.Exponential_div10
