,rep,NeSa1,pa1,NeSa2,pa2,AIC,identifier
55,55,403.023159111,2.35491701521e-05,41.0122255778,0.0184945979531,-20086.8723767,BimodalDFE_div10
56,56,534.392572852,2.49998644283e-05,1.76710187594,0.0110877335287,-24384.1071573,BimodalDFE_div10
57,57,466.224784463,3.19905415394e-05,2.22795922011,2.37133318426e-08,-24346.7706004,BimodalDFE_div10
58,58,473.179983119,3.02778576609e-05,2.51528399225,0.00222752320754,-24397.2793821,BimodalDFE_div10
59,59,625.592934542,0.0813514501002,442.597333373,3.32429989574e-06,-2452.69866127,BimodalDFE_div10
60,60,325.350298955,0.0200963487075,153.959764234,0.0124269387601,-10158.3910243,BimodalDFE_div10
61,61,333.620054494,0.000272866966735,130.331827121,0.000263363937506,-24331.9521471,BimodalDFE_div10
62,62,582.919080175,4.89200782794e-05,24.2804809598,0.230678952286,-15694.8741674,BimodalDFE_div10
63,63,493.195185089,2.75172601015e-05,487.236612496,1.63099186429e-06,-24359.3035401,BimodalDFE_div10
64,64,547.992914629,0.429642359375,0.0107796013782,0.2,-1938.756585,BimodalDFE_div10
65,65,533.932984276,2.57961663468e-05,2.50386036155,0.00658025697909,-24360.1394205,BimodalDFE_div10
66,66,448.702391533,0.0021422023987,0.220969048226,0.524682567562,-3402.84800816,BimodalDFE_div10
67,67,749.949716609,0.913625591895,0.6233913184,0.2,-1136.51793115,BimodalDFE_div10
68,68,543.258426268,2.62939977755e-05,3.15485317209,1.25920619488e-09,-24314.7701169,BimodalDFE_div10
69,69,435.038272488,3.47403086035e-05,2.71276379604,0.00707841166921,-24403.9341528,BimodalDFE_div10
70,70,521.758314043,2.61661824114e-05,35.343558175,4.13853418202e-09,-24283.5813924,BimodalDFE_div10
71,71,904.405299797,0.0931567482754,37.5377202546,0.637875921423,-1536.0783319,BimodalDFE_div10
72,72,462.946338062,3.18956589162e-05,0.0520316816299,0.112610026442,-24395.280882,BimodalDFE_div10
73,73,514.425007149,2.54957630489e-05,2.35396326131,0.00586456924335,-24331.1837285,BimodalDFE_div10
